,price,beds,livings,wc,area,street_width,age,ketchen,ac,furnished,district,advertiser_type,review,onMarket,IsRent
673,36000,3,1,3,250.0,15.0,7.0,True,True,False,حي الياسمين,exclusive_marketer,3.93,55,False
680,90000,4,1,4,200.0,33.0,0.0,True,True,False,حي الياسمين,exclusive_marketer,4.31,12,True
681,80000,5,0,3,196.0,30.0,0.0,False,False,False,حي قرطبة,normal_marketer,4.34,60,False
684,23000,2,0,1,70.0,19.0,5.0,True,True,False,حي اليرموك,normal_marketer,4.35,18,False
691,75000,3,1,3,170.0,30.0,3.0,True,True,False,حي الياسمين,exclusive_marketer,4.12,23,False
692,65000,4,1,3,200.0,20.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.31,22,True
693,47000,3,2,3,150.0,16.0,0.0,True,False,False,حي النرجس,exclusive_marketer,4.69,39,True
700,75000,3,1,3,155.0,30.0,1.0,True,True,False,حي غرناطة,normal_marketer,3.97,29,False
704,40000,2,2,2,200.0,20.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.69,20,False
707,42000,3,1,2,145.0,30.0,1.0,True,False,False,حي قرطبة,owner,4.14,45,True
712,70000,4,1,3,160.0,30.0,0.0,True,True,False,حي قرطبة,exclusive_marketer,4.34,32,False
718,75000,3,1,3,180.0,30.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.0,33,False
729,50000,3,1,3,150.0,14.0,6.0,False,False,False,حي النرجس,owner,4.23,16,True
741,19000,3,1,2,160.0,15.0,0.0,False,False,False,حي الرمال,normal_marketer,4.46,64,False
742,65000,3,1,3,150.0,37.0,0.0,True,True,False,حي غرناطة,normal_marketer,4.79,27,True
747,44000,3,1,2,160.0,20.0,2.0,True,True,False,حي العارض,normal_marketer,4.47,23,True
749,21000,1,1,1,50.0,27.0,3.0,True,True,False,حي اليرموك,owner,4.52,54,False
750,30000,3,1,2,100.0,15.0,1.0,True,False,False,حي المونسية,normal_marketer,4.34,74,False
751,44000,3,1,2,150.0,15.0,8.0,True,True,False,حي النرجس,normal_marketer,4.67,38,True
755,28000,2,1,1,60.0,18.0,3.0,True,True,False,حي المونسية,normal_marketer,4.35,67,False
760,24000,1,1,1,110.0,26.0,0.0,True,True,False,حي اليرموك,owner,4.28,97,False
765,34000,3,1,2,140.0,20.0,1.0,True,True,False,حي العارض,exclusive_marketer,4.52,5,True
768,22000,1,1,1,50.0,21.0,0.0,True,True,False,حي اليرموك,exclusive_marketer,4.43,35,False
770,70000,3,2,3,188.0,34.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.31,28,False
772,35000,3,1,3,158.0,20.0,1.0,True,True,False,حي قرطبة,normal_marketer,4.67,11,True
774,42000,4,1,3,180.0,25.0,5.0,True,True,False,حي الياسمين,exclusive_marketer,4.5,16,False
778,35000,3,1,2,350.0,15.0,2.0,True,True,False,حي العارض,normal_marketer,4.79,49,False
779,27000,3,1,2,150.0,20.0,2.0,True,False,False,حي المونسية,normal_marketer,4.1,20,True
781,83000,4,1,4,234.0,30.0,1.0,True,True,False,حي قرطبة,normal_marketer,4.34,74,False
783,30000,3,1,2,140.0,26.0,1.0,False,False,False,حي المونسية,normal_marketer,4.75,12,True
784,33000,3,1,2,150.0,18.0,0.0,True,False,False,حي المونسية,agent,4.19,75,False
792,95000,4,2,4,216.0,24.0,11.0,True,True,False,حي الياسمين,normal_marketer,3.75,20,False
797,50000,3,1,2,312.0,15.0,1.0,True,True,False,حي العارض,owner,5.0,18,True
809,50000,3,1,2,160.0,15.0,0.0,True,True,False,حي العارض,normal_marketer,3.97,16,True
817,50000,3,1,3,130.0,20.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.0,25,False
822,40000,3,1,2,180.0,17.0,0.0,True,True,False,حي النرجس,normal_marketer,4.67,13,True
824,95000,3,2,4,220.0,30.0,0.0,True,True,True,حي النرجس,owner,0.0,48,False
830,70000,3,2,4,200.0,30.0,0.0,True,True,False,حي النرجس,owner,4.85,18,False
832,35000,2,1,2,160.0,18.0,0.0,True,True,False,حي العارض,agent,5.0,23,False
836,37000,3,1,2,160.0,15.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.56,23,True
837,90000,4,1,4,190.0,35.0,0.0,True,True,False,حي الياسمين,exclusive_marketer,4.26,12,True
843,35000,2,1,2,120.0,15.0,0.0,True,False,False,حي العارض,normal_marketer,4.35,71,True
845,70000,3,1,3,182.0,37.0,0.0,True,True,False,حي النرجس,normal_marketer,4.29,20,False
848,16000,1,0,1,50.0,30.0,4.0,True,True,False,حي غرناطة,agent,4.33,28,False
853,22000,1,1,1,100.0,30.0,3.0,True,True,False,حي اليرموك,owner,4.37,30,True
854,45000,4,1,3,300.0,20.0,0.0,True,True,False,حي النرجس,normal_marketer,4.39,15,True
855,75000,3,1,3,166.0,20.0,0.0,True,True,False,حي النرجس,normal_marketer,3.75,33,False
857,75000,3,2,4,155.0,24.0,1.0,True,True,False,حي قرطبة,normal_marketer,3.75,43,False
863,20000,3,1,2,150.0,15.0,0.0,False,False,False,حي الرمال,exclusive_marketer,4.19,31,False
869,40000,3,1,2,150.0,15.0,1.0,True,True,False,حي قرطبة,exclusive_marketer,4.31,2,True
873,50000,4,1,3,150.0,17.0,0.0,True,True,False,حي العارض,normal_marketer,4.17,15,True
876,25000,1,1,1,50.0,29.0,3.0,True,True,False,حي المونسية,agent,4.5,62,False
878,30000,3,1,2,144.0,15.0,0.0,False,True,False,حي الرمال,agent,4.74,19,False
880,70000,3,1,2,137.0,31.0,0.0,True,True,False,حي النرجس,normal_marketer,3.74,26,True
882,40000,2,2,2,200.0,15.0,1.0,True,True,False,حي النرجس,exclusive_marketer,4.69,25,True
883,70000,3,1,2,100.0,36.0,0.0,True,True,False,حي العارض,owner,4.34,166,False
888,78000,4,1,3,200.0,20.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.35,54,True
889,95000,4,3,4,255.0,30.0,0.0,True,True,False,حي العارض,exclusive_marketer,3.96,22,True
892,29000,4,1,2,150.0,20.0,7.0,True,False,False,حي اليرموك,exclusive_marketer,4.09,33,True
893,24000,3,1,2,140.0,18.0,5.0,False,False,False,حي اليرموك,agent,4.18,20,False
896,60000,4,1,3,220.0,30.0,0.0,True,True,False,حي الياسمين,normal_marketer,4.79,20,False
897,45000,3,1,2,180.0,15.0,0.0,True,True,False,حي النرجس,normal_marketer,4.08,39,False
898,30000,3,1,2,200.0,16.0,3.0,False,True,False,حي العارض,exclusive_marketer,4.0,19,False
900,35000,2,1,2,170.0,15.0,0.0,True,False,False,حي العارض,owner,3.67,14,True
911,40000,2,2,2,200.0,15.0,0.0,True,True,False,حي العارض,exclusive_marketer,5.0,95,False
916,22000,1,1,1,80.0,34.0,5.0,True,True,False,حي المونسية,normal_marketer,1.0,30,False
919,75000,4,1,4,170.0,29.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.26,21,False
920,45000,3,1,2,150.0,15.0,0.0,True,True,False,حي الياسمين,normal_marketer,4.07,19,False
921,25000,3,1,2,150.0,18.0,0.0,True,False,False,حي الرمال,exclusive_marketer,4.84,18,False
