,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
405, حي النزهة ,غربية,3,0.0,3,238,متوفر,غير متوفر,متوفر,4,0.0,لا,1280000
406, الرياض ,غير محدد,3,1.0,3,134,غير متوفر,متوفر,متوفر,أرضي,0.0,لا,1350000
407, حي المروج ,شمالية شرقية,3,0.0,2,130,متوفر,غير متوفر,غير متوفر,علوي,10.0,لا,750000
408, حي النرجس ,غير محدد,3,1.0,3,142,متوفر,متوفر,متوفر,غير محدد,1.0,نعم,1000000
409, حي العارض ,غربية,4,2.0,3,145,غير متوفر,متوفر,متوفر,غير محدد,0.0,لا,920000
410, الرياض ,غير محدد,3,1.0,3,195,متوفر,متوفر,متوفر,علوي,0.0,نعم,1199000
411, حي النرجس ,شمالية,4,1.0,3,150,متوفر,متوفر,متوفر,ثاني,0.0,لا,1050000
412, حي النرجس ,شمالية,4,1.0,3,150,غير متوفر,غير متوفر,متوفر,3,0.0,لا,1050000
413, حي النرجس ,غير محدد,3,2.0,4,145,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1100000
414, حي الملقا ,شمالية,3,1.0,3,185,متوفر,متوفر,متوفر,علوي,11.0,لا,1850000
415, حي الملقا ,شرقية,4,1.0,3,135,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1148000
416, حي الملقا ,جنوبية شرقية,3,1.0,4,108,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1225000
417, حي الياسمين ,غير محدد,3,1.0,3,129,غير متوفر,متوفر,متوفر,علوي,0.0,لا,1250000
418, حي الملقا ,غير محدد,3,1.0,3,168,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1350000
419, حي النرجس ,غير محدد,3,1.0,2,129,متوفر,غير متوفر,متوفر,علوي,0.0,لا,830000
420, الرياض ,جنوبية غربية,3,1.0,3,111,غير متوفر,غير متوفر,غير متوفر,3,0.0,لا,886000
421, حي الملقا ,جنوبية,3,2.0,3,125,متوفر,غير متوفر,متوفر,علوي,7.0,لا,1000000
422, حي النرجس ,شرقية,5,1.0,4,141,غير متوفر,غير متوفر,متوفر,أرضي,0.0,لا,985000
423, حي النرجس ,جنوبية,3,1.0,4,106,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,880000
