,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
251, حي العارض ,جنوبية,4,2.0,4,200,متوفر,متوفر,متوفر,علوي,0.0,لا,1190000
252, حي القيروان ,شمالية شرقية,3,1.0,3,147,متوفر,متوفر,متوفر,ثالث,0.0,لا,1079000
253, حي النرجس ,غير محدد,3,2.0,3,124,غير متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,859000
254, الرياض ,جنوبية غربية,4,1.0,3,181,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,995000
255, الرياض ,غير محدد,1,0.0,3,151,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,896000
256, حي القيروان ,غير محدد,3,1.0,3,134,متوفر,متوفر,غير متوفر,علوي,3.0,لا,1100000
257, حي العارض ,شمالية,3,2.0,3,141,متوفر,غير متوفر,متوفر,3,0.0,لا,959000
258, حي الربيع ,غير محدد,3,1.0,3,110,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,940000
259, حي النرجس ,غير محدد,3,1.0,3,140,غير متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1250000
260, حي العقيق ,شمالية غربية,3,1.0,3,162,متوفر,متوفر,متوفر,3,0.0,لا,700000
261, حي الملقا ,شرقية,2,1.0,2,148,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1099000
262, حي حطين ,شمالية غربية,2,1.0,2,107,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,945000
263, حي النرجس ,شرقية,3,1.0,3,163,متوفر,متوفر,متوفر,أرضي,0.0,لا,906000
264, حي المروج ,شمالية شرقية,3,1.0,2,130,متوفر,غير متوفر,متوفر,غير محدد,10.0,لا,800000
265, الرياض ,جنوبية,3,1.0,3,129,متوفر,غير متوفر,متوفر,أرضي,1.0,لا,950000
266, الرياض ,غير محدد,3,2.0,3,149,متوفر,غير متوفر,متوفر,علوي,0.0,لا,1250000
267, حي النرجس ,شرقية,3,1.0,3,132,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,985000
268, الرياض ,غير محدد,4,1.0,3,126,متوفر,غير متوفر,متوفر,علوي,7.0,نعم,1350000
269, حي النرجس ,غربية,4,1.0,3,160,متوفر,غير متوفر,متوفر,3,0.0,لا,920000
270, حي الملقا ,شرقية,3,1.0,3,124,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1100000
271, حي التعاون ,شمالية,3,1.0,3,140,متوفر,غير متوفر,غير متوفر,أرضي,4.0,لا,1200000
272, حي الملقا ,غير محدد,3,1.0,2,100,متوفر,متوفر,متوفر,أرضي,0.0,لا,1000000
273, حي الوادي ,شمالية,3,1.0,3,141,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,979000
274, حي القيروان ,شمالية,3,2.0,3,141,متوفر,غير متوفر,متوفر,3,0.0,لا,949000
275, الرياض ,شرقية,4,1.0,5,181,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1300000
276, حي النرجس ,جنوبية,3,1.0,3,134,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,890000
277, حي النزهة ,جنوبية شرقية,3,1.0,3,203,متوفر,غير متوفر,غير متوفر,غير محدد,8.0,لا,1500000
278, حي العقيق ,شمالية,4,1.0,3,220,متوفر,متوفر,متوفر,3,0.0,لا,800000
279, حي الملقا ,شمالية,3,1.0,3,150,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1150000
280, الرياض ,جنوبية,3,2.0,3,130,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,840000
281, حي المروج ,شمالية شرقية,3,1.0,2,130,متوفر,غير متوفر,متوفر,غير محدد,10.0,لا,800000
282, حي العارض ,غير محدد,3,2.0,3,138,متوفر,غير متوفر,متوفر,علوي,0.0,لا,895000
283, حي المصيف ,شرقية,2,1.0,2,103,غير متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,849000
284, حي النرجس ,غربية,4,1.0,4,156,غير متوفر,غير متوفر,غير متوفر,ارضي,0.0,لا,1000000
285, الرياض ,شمالية شرقية,1,1.0,2,81,غير متوفر,متوفر,متوفر,20+,3.0,لا,1700000
286, حي النرجس ,غربية,4,1.0,3,160,متوفر,غير متوفر,متوفر,3,0.0,لا,920000
287, حي العارض ,غربية,4,2.0,3,145,غير متوفر,متوفر,متوفر,غير محدد,0.0,لا,920000
288, حي القيروان ,غير محدد,3,1.0,3,130,متوفر,غير متوفر,متوفر,علوي,0.0,لا,960000
289, حي حطين ,شمالية غربية,3,2.0,3,155,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1245000
290, حي النرجس ,غير محدد,3,1.0,3,151,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,846000
291, حي الصحافة ,غير محدد,2,1.0,3,142,متوفر,متوفر,متوفر,غير محدد,7.0,لا,1980000
292, حي الياسمين ,شرقية,3,1.0,3,129,متوفر,متوفر,متوفر,3,0.0,لا,1250000
293, حي القيروان ,شرقية,3,1.0,3,139,متوفر,غير متوفر,غير متوفر,أرضي,1.0,لا,1600000
294, حي النرجس ,شمالية,4,2.0,4,143,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1570000
295, حي النفل ,شرقية,3,1.0,3,108,متوفر,غير متوفر,غير متوفر,أرضي,0.0,نعم,1550000
296, حي النفل ,شرقية,3,1.0,3,108,متوفر,غير متوفر,غير متوفر,أرضي,0.0,نعم,1550000
297, حي النرجس ,شمالية غربية,3,1.0,3,136,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,1019000
298, حي الملقا ,ثلاث شوارع,3,1.0,3,124,غير متوفر,متوفر,متوفر,ثاني,0.0,لا,959000
300, حي الملقا ,غير محدد,3,2.0,3,111,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,1150000
301, حي العارض ,شمالية شرقية,3,2.0,3,126,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,859000
302, حي الملقا ,شرقية,3,1.0,3,136,متوفر,غير متوفر,متوفر,علوي,0.0,لا,1199000
303, حي الياسمين ,شمالية,2,2.0,2,232,متوفر,غير متوفر,غير متوفر,3,2.0,لا,1000000
